QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20181,03821681,27,0,1,11,D,100,D,,A,100,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821681,28,0,1,10,D,550,D,,A,550,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821701,27,0,1,11,D,320,D,,A,320,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821721,25,0,1,11,D,112,D,,A,112,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821741,53,0,1,10,D,49,D,,A,49,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821751,25,0,1,10,D,38,D,,A,38,D,370,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821801,19,0,1,11,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821801,20,0,1,12,D,610,D,,A,610,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821871,40,0,1,11,D,130,D,,A,130,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821871,41,0,1,11,D,500,D,,A,500,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821871,42,0,1,11,D,300,D,,A,300,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821891,20,0,1,10,D,30,D,,A,30,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821891,21,0,1,11,D,10,D,,A,10,D,150,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821921,28,0,1,12,D,240,D,,A,240,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821951,28,0,1,10,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03821971,42,0,1,12,D,500,D,,A,,H,500,D,1,D,2,D,160,D,150,D,130,D,110,D,100,D,330,D,,A,,A,,A
