QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20181,03776292,10,0,1,450,D,2,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03776502,2,0,1,450,D,1,D,12,D,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03776742,6,0,1,460,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03778172,5,0,1,460,D,1,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779212,17,0,2,450,D,1,D,11,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779212,18,0,2,480,D,1,D,11,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779292,8,0,1,450,D,1,D,12,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779292,9,0,1,450,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779542,19,0,1,450,D,1,D,01,D,73,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779542,20,0,1,450,D,1,D,11,D,36,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03779542,21,0,1,470,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03780132,4,0,1,470,D,1,D,12,D,76,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03780622,15,0,1,470,D,1,D,11,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03780622,16,0,1,470,D,1,D,11,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03781052,3,0,1,450,D,1,D,01,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03781332,8,0,1,450,D,1,D,01,D,64,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03781642,14,0,1,470,D,1,D,01,D,424,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
