QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20181,03665314,14,0,1,160,D,02,D,1,D,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665314,15,0,1,380,D,01,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665314,16,0,1,460,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665314,17,0,1,330,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665314,18,0,2,250,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665314,19,0,2,260,D,12,D,1,D,146,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665324,23,0,2,180,D,12,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665424,13,0,1,240,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665434,18,0,1,390,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665434,19,0,1,340,D,01,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665434,20,0,1,340,D,02,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665434,21,0,1,340,D,01,D,2,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665434,22,0,1,240,D,13,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665574,12,0,1,260,D,01,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665604,16,0,1,330,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665604,17,0,1,260,D,01,D,1,D,189,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03665604,18,0,1,410,D,02,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
